OPERATION TEST,,,,,,,
TEST: 12,,,,,,,
TestNumber, InputArrayLength, Algo1Distance, Algo2Distance, Algo1NumOps, Algo2NumOps,,
151,4008,1,1,879182856,439591428,,
152,4008,1,1,895242912,447621456,,
153,4008,1,1,911302968,455651484,,
154,4008,1,1,927363024,463681512,,
155,4008,1,1,943423080,471711540,792734805,396367402.5
156,4008,1,1,959483136,479741568,,
157,4008,1,1,975543192,487771596,,
158,4008,1,1,991603248,495801624,,
159,4008,1,1,1007663304,503831652,,
160,4509,1,1,1023723360,511861680,,
161,4509,1,1,1044049932,522024966,,
162,4509,1,1,1064376504,532188252,,
163,4509,1,1,1084703076,542351538,,
164,4509,1,1,1105029648,552514824,,
165,4509,1,1,1125356220,562678110,,
166,4509,1,1,1145682792,572841396,,
167,4509,1,1,1166009364,583004682,,
168,4509,1,1,1186335936,593167968,,
169,4509,1,1,1206662508,603331254,,
170,4509,1,1,1226989080,613494540,,
171,4509,1,1,1247315652,623657826,,
172,4509,1,1,1267642224,633821112,,
173,4509,1,1,1287968796,643984398,,
174,4509,1,1,1308295368,654147684,,
175,4509,1,1,1328621940,664310970,1137652764,568826382
176,4509,1,1,1348948512,674474256,,
177,4509,1,1,1369275084,684637542,,
178,4509,1,1,1389601656,694800828,,
179,4509,1,1,1409928228,704964114,,
180,5010,1,1,1430254800,715127400,,
181,5010,1,1,1455349890,727674945,,
182,5010,1,1,1480444980,740222490,,
183,5010,1,1,1505540070,752770035,,
184,5010,1,1,1530635160,765317580,,
185,5010,1,1,1555730250,777865125,,
186,5010,1,1,1580825340,790412670,,
187,5010,1,1,1605920430,802960215,,
188,5010,1,1,1631015520,815507760,,
189,5010,1,1,1656110610,828055305,,
190,5010,1,1,1681205700,840602850,,
191,5010,1,1,1706300790,853150395,,
192,5010,1,1,1731395880,865697940,,
193,5010,1,1,1756490970,878245485,,
194,5010,1,1,1781586060,890793030,,
195,5010,1,1,1806681150,903340575,1570662054,785331027
196,5010,1,1,1831776240,915888120,,
197,5010,1,1,1856871330,928435665,,
198,5010,1,1,1881966420,940983210,,
199,5010,1,1,1907061510,953530755,,
200,5511,1,1,0,0,,
201,5511,1,1,250500,125250,,
202,5511,1,1,501000,250500,,
203,5511,1,1,751500,375750,,
204,5511,1,1,1002000,501000,,
205,5511,1,1,1252500,626250,,
206,5511,1,1,1503000,751500,,
207,5511,1,1,1753500,876750,,
208,5511,1,1,2004000,1002000,,
209,5511,1,1,2254500,1127250,,
210,5511,1,1,2505000,1252500,,
211,5511,1,1,2755500,1377750,,
212,5511,1,1,3006000,1503000,,
213,5511,1,1,3256500,1628250,,
214,5511,1,1,3507000,1753500,,
215,5511,1,1,3757500,1878750,375386775,187693387.5
216,5511,1,1,4008000,2004000,,
217,5511,1,1,4258500,2129250,,
218,5511,1,1,4509000,2254500,,
219,5511,1,1,4759500,2379750,,
